date,shoreline
2017-02-01,3.748556393131658
2017-03-01,6.560300232402415
2017-04-01,5.451180902588058
2017-05-01,10.784496521903357
2017-06-01,8.067935249058609
2017-07-01,8.987045326975826
2017-08-01,6.55346545604823
2017-09-01,7.744013268553199
2017-10-01,2.22275157652084
2017-11-01,0.3355040357697127
2017-12-01,3.796204481354906
2018-01-01,4.142737032253473
2018-02-01,1.4281335433059288
2018-03-01,9.427337820806335
2018-04-01,7.410691532515408
2018-05-01,8.131054016305612
2018-06-01,8.851416500095814
2018-07-01,10.755956114659327
2018-08-01,12.019304516586688
2018-09-01,7.896845463190968
2018-10-01,4.3826844382297345
2018-11-01,9.732067959685669
2018-12-01,10.918182028425871
2019-01-01,6.231645605530434
2019-02-01,4.853976762140914
2019-03-01,3.222552288274488
2019-04-01,7.986906258543103
2019-05-01,6.04949188849245
2019-06-01,3.609930774115556
2019-07-01,4.971568926238487
2019-08-01,4.267427487565867
2019-09-01,4.59930213360114
2019-10-01,5.2205570100273935
2019-11-01,8.131432263797246
2019-12-01,9.061468822035524
2020-01-01,8.637972757397588
2020-02-01,17.795667140912244
2020-03-01,20.36202782739979
2020-04-01,21.000082166139865
2020-05-01,21.63813650487994
2020-06-01,22.389140522556424
2020-07-01,26.238106223904136
2020-08-01,25.342528041691384
2020-09-01,24.179798719499498
2020-10-01,21.862790827718623
2020-11-01,23.780938431685794
2020-12-01,26.379472750620305
2021-01-01,25.511043797152098
2021-02-01,29.08710185950628
2021-03-01,19.870890068349777
2021-04-01,23.3867915771402
2021-05-01,26.91607283198636
2021-06-01,22.9634852090157
2021-07-01,22.738011586429153
2021-08-01,25.742821378544114
2021-09-01,27.97999985789374
2021-10-01,19.648979891055863
2021-11-01,24.134231915264003
2021-12-01,22.241237473570276
2022-01-01,13.38237873623049
2022-02-01,11.106024810915635
2022-03-01,10.82582767824763
2022-04-01,17.33107111716676
2022-05-01,23.836314556085892
2022-06-01,22.114857843790602
2022-07-01,19.894690329297095
2022-08-01,22.530939361110136
2022-09-01,22.761439992501046
2022-10-01,21.478211235914067
2022-11-01,15.535862396687197
2022-12-01,18.527938757348604
2023-01-01,17.71993490091329
2023-02-01,14.337460312187265
2023-03-01,16.840889108087556
2023-04-01,16.827590941371458
2023-05-01,17.620879200579548
2023-06-01,19.417906049164408
2023-07-01,21.177334797614275
2023-08-01,21.981707923874932
2023-09-01,21.589221204018205
2023-10-01,22.67865165416062
2023-11-01,20.308288610059464
2023-12-01,14.928609950198867
2024-01-01,16.16007881912619
2024-02-01,20.369767725170345
2024-03-01,22.96891396032591
2024-04-01,22.887089055176126
2024-05-01,21.231265399823023
2024-06-01,21.664992812402154
2024-07-01,22.746884446303664
2024-08-01,25.397494518635877
2024-09-01,23.236923721970005
2024-10-01,24.154245782625463
2024-11-01,27.14441794792667
2024-12-01,14.331082232883706
